utc_timestamp;BE_load_actual_entsoe_transparency
2015-01-07T07:00:00Z;128.560.000
2015-01-07T08:00:00Z;127.990.000
2015-01-07T09:00:00Z;126.620.000
2015-01-07T10:00:00Z;127.690.000
2015-01-07T11:00:00Z;125.800.000
2015-01-07T12:00:00Z;125.610.000
2015-01-07T13:00:00Z;125.070.000
2015-01-07T14:00:00Z;125.030.000
2015-01-07T15:00:00Z;126.460.000
2015-01-07T16:00:00Z;133.880.000
2015-01-07T17:00:00Z;133.980.000
2015-01-07T18:00:00Z;127.790.000
2015-01-07T19:00:00Z;122.100.000
2015-01-07T20:00:00Z;115.800.000
2015-01-07T21:00:00Z;116.510.000
2015-01-07T22:00:00Z;117.350.000
2015-01-07T23:00:00Z;109.960.000
2015-01-08T00:00:00Z;105.190.000
2015-01-08T01:00:00Z;100.830.000
2015-01-08T02:00:00Z;98.030.000
2015-01-08T03:00:00Z;98.280.000
2015-01-08T04:00:00Z;102.380.000
2015-01-08T05:00:00Z;112.770.000
2015-01-08T06:00:00Z;122.990.000
2015-01-08T07:00:00Z;127.310.000
2015-01-08T08:00:00Z;128.540.000
2015-01-08T09:00:00Z;129.260.000
2015-01-08T10:00:00Z;130.870.000
2015-01-08T11:00:00Z;127.570.000
2015-01-08T12:00:00Z;128.680.000
2015-01-08T13:00:00Z;128.250.000
2015-01-08T14:00:00Z;127.720.000
2015-01-08T15:00:00Z;128.280.000
2015-01-08T16:00:00Z;133.800.000
2015-01-08T17:00:00Z;133.260.000
2015-01-08T18:00:00Z;126.900.000
2015-01-08T19:00:00Z;120.760.000
2015-01-08T20:00:00Z;115.820.000
2015-01-08T21:00:00Z;117.640.000
2015-01-08T22:00:00Z;116.080.000
2015-01-08T23:00:00Z;109.440.000
2015-01-09T00:00:00Z;103.930.000
2015-01-09T01:00:00Z;100.410.000
2015-01-09T02:00:00Z;98.700.000
2015-01-09T03:00:00Z;97.500.000
2015-01-09T04:00:00Z;102.060.000
2015-01-09T05:00:00Z;112.220.000
2015-01-09T06:00:00Z;121.070.000
2015-01-09T07:00:00Z;126.820.000
2015-01-09T08:00:00Z;127.250.000
2015-01-09T09:00:00Z;127.570.000
2015-01-09T10:00:00Z;129.130.000
2015-01-09T11:00:00Z;126.080.000
2015-01-09T12:00:00Z;125.050.000
2015-01-09T13:00:00Z;122.790.000
2015-01-09T14:00:00Z;121.690.000
2015-01-09T15:00:00Z;123.500.000
2015-01-09T16:00:00Z;127.760.000
2015-01-09T17:00:00Z;127.030.000
2015-01-09T18:00:00Z;121.330.000
2015-01-09T19:00:00Z;114.260.000
2015-01-09T20:00:00Z;109.080.000
2015-01-09T21:00:00Z;111.080.000
2015-01-09T22:00:00Z;111.040.000
2015-01-09T23:00:00Z;104.980.000
2015-01-10T00:00:00Z;98.360.000
2015-01-10T01:00:00Z;93.230.000
2015-01-10T02:00:00Z;90.850.000
2015-01-10T03:00:00Z;87.710.000
2015-01-10T04:00:00Z;88.960.000
2015-01-10T05:00:00Z;90.990.000
2015-01-10T06:00:00Z;94.900.000
2015-01-10T07:00:00Z;101.760.000
2015-01-10T08:00:00Z;106.840.000
2015-01-10T09:00:00Z;110.850.000
2015-01-10T10:00:00Z;112.320.000
2015-01-10T11:00:00Z;112.920.000
2015-01-10T12:00:00Z;110.680.000
2015-01-10T13:00:00Z;108.620.000
2015-01-10T14:00:00Z;108.720.000
2015-01-10T15:00:00Z;108.870.000
2015-01-10T16:00:00Z;114.810.000
2015-01-10T17:00:00Z;116.940.000
2015-01-10T18:00:00Z;112.490.000
2015-01-10T19:00:00Z;108.100.000
2015-01-10T20:00:00Z;104.030.000
2015-01-10T21:00:00Z;104.970.000
2015-01-10T22:00:00Z;105.550.000
2015-01-10T23:00:00Z;100.350.000
2015-01-11T00:00:00Z;96.480.000
2015-01-11T01:00:00Z;92.160.000
2015-01-11T02:00:00Z;89.830.000
2015-01-11T03:00:00Z;89.430.000
2015-01-11T04:00:00Z;88.680.000
2015-01-11T05:00:00Z;89.550.000
2015-01-11T06:00:00Z;89.760.000
2015-01-11T07:00:00Z;94.030.000
2015-01-11T08:00:00Z;99.620.000
2015-01-11T09:00:00Z;103.490.000
2015-01-11T10:00:00Z;106.800.000
2015-01-11T11:00:00Z;108.960.000
2015-01-11T12:00:00Z;106.590.000
2015-01-11T13:00:00Z;103.450.000
2015-01-11T14:00:00Z;101.870.000
2015-01-11T15:00:00Z;102.860.000
2015-01-11T16:00:00Z;110.970.000
2015-01-11T17:00:00Z;114.540.000
2015-01-11T18:00:00Z;113.150.000
2015-01-11T19:00:00Z;109.480.000
2015-01-11T20:00:00Z;104.600.000
2015-01-11T21:00:00Z;105.670.000
2015-01-11T22:00:00Z;105.640.000
2015-01-11T23:00:00Z;100.240.000
2015-01-12T00:00:00Z;95.500.000
2015-01-12T01:00:00Z;91.660.000
2015-01-12T02:00:00Z;89.460.000
2015-01-12T03:00:00Z;90.270.000
2015-01-12T04:00:00Z;94.930.000
2015-01-12T05:00:00Z;108.010.000
2015-01-12T06:00:00Z;119.270.000
2015-01-12T07:00:00Z;124.150.000
2015-01-12T08:00:00Z;124.400.000
2015-01-12T09:00:00Z;124.800.000
2015-01-12T10:00:00Z;126.310.000
2015-01-12T11:00:00Z;125.370.000
2015-01-12T12:00:00Z;126.120.000
2015-01-12T13:00:00Z;124.770.000
2015-01-12T14:00:00Z;124.040.000
2015-01-12T15:00:00Z;124.540.000
2015-01-12T16:00:00Z;130.340.000
2015-01-12T17:00:00Z;130.640.000
2015-01-12T18:00:00Z;125.460.000
2015-01-12T19:00:00Z;118.390.000
2015-01-12T20:00:00Z;112.300.000
2015-01-12T21:00:00Z;112.940.000
2015-01-12T22:00:00Z;111.320.000
2015-01-12T23:00:00Z;104.830.000
2015-01-13T00:00:00Z;98.770.000
2015-01-13T01:00:00Z;95.370.000
2015-01-13T02:00:00Z;92.170.000
2015-01-13T03:00:00Z;92.460.000
2015-01-13T04:00:00Z;98.190.000
2015-01-13T05:00:00Z;109.720.000
2015-01-13T06:00:00Z;119.440.000
2015-01-13T07:00:00Z;122.360.000
2015-01-13T08:00:00Z;123.200.000
2015-01-13T09:00:00Z;124.910.000
2015-01-13T10:00:00Z;128.250.000
2015-01-13T11:00:00Z;126.910.000
2015-01-13T12:00:00Z;127.230.000
2015-01-13T13:00:00Z;125.450.000
2015-01-13T14:00:00Z;123.570.000
2015-01-13T15:00:00Z;123.090.000
2015-01-13T16:00:00Z;128.210.000
2015-01-13T17:00:00Z;130.360.000
2015-01-13T18:00:00Z;124.460.000
2015-01-13T19:00:00Z;117.900.000
2015-01-13T20:00:00Z;111.920.000
2015-01-13T21:00:00Z;113.470.000
2015-01-13T22:00:00Z;112.990.000
2015-01-13T23:00:00Z;105.640.000
2015-01-14T00:00:00Z;100.580.000
2015-01-14T01:00:00Z;96.280.000
2015-01-14T02:00:00Z;95.040.000
2015-01-14T03:00:00Z;94.880.000
2015-01-14T04:00:00Z;100.210.000
2015-01-14T05:00:00Z;111.070.000
2015-01-14T06:00:00Z;120.480.000
2015-01-14T07:00:00Z;126.630.000
2015-01-14T08:00:00Z;128.570.000
2015-01-14T09:00:00Z;128.470.000
2015-01-14T10:00:00Z;130.390.000
2015-01-14T11:00:00Z;126.780.000
2015-01-14T12:00:00Z;126.170.000
2015-01-14T13:00:00Z;124.960.000
2015-01-14T14:00:00Z;124.270.000
2015-01-14T15:00:00Z;123.490.000
2015-01-14T16:00:00Z;129.410.000
2015-01-14T17:00:00Z;132.310.000
2015-01-14T18:00:00Z;127.470.000
2015-01-14T19:00:00Z;120.820.000
2015-01-14T20:00:00Z;114.660.000
2015-01-14T21:00:00Z;115.940.000
2015-01-14T22:00:00Z;114.960.000
2015-01-14T23:00:00Z;107.420.000
2015-01-15T00:00:00Z;101.450.000
2015-01-15T01:00:00Z;97.230.000
2015-01-15T02:00:00Z;95.570.000
2015-01-15T03:00:00Z;95.200.000
2015-01-15T04:00:00Z;100.170.000
2015-01-15T05:00:00Z;110.240.000
2015-01-15T06:00:00Z;120.560.000
2015-01-15T07:00:00Z;125.380.000
2015-01-15T08:00:00Z;125.700.000
2015-01-15T09:00:00Z;126.530.000
2015-01-15T10:00:00Z;128.610.000
2015-01-15T11:00:00Z;126.020.000
2015-01-15T12:00:00Z;126.720.000
2015-01-15T13:00:00Z;125.600.000
2015-01-15T14:00:00Z;124.870.000
2015-01-15T15:00:00Z;124.260.000
2015-01-15T16:00:00Z;130.350.000
2015-01-15T17:00:00Z;131.440.000
2015-01-15T18:00:00Z;125.970.000
2015-01-15T19:00:00Z;120.080.000
2015-01-15T20:00:00Z;113.800.000
2015-01-15T21:00:00Z;115.730.000
2015-01-15T22:00:00Z;114.860.000
2015-01-15T23:00:00Z;107.620.000
2015-01-16T00:00:00Z;103.380.000
2015-01-16T01:00:00Z;99.380.000
2015-01-16T02:00:00Z;97.400.000
2015-01-16T03:00:00Z;97.390.000
2015-01-16T04:00:00Z;101.660.000
2015-01-16T05:00:00Z;113.390.000
2015-01-16T06:00:00Z;122.730.000
2015-01-16T07:00:00Z;125.580.000
2015-01-16T08:00:00Z;125.910.000
2015-01-16T09:00:00Z;125.580.000
2015-01-16T10:00:00Z;125.820.000
2015-01-16T11:00:00Z;122.880.000
2015-01-16T12:00:00Z;121.950.000
2015-01-16T13:00:00Z;119.930.000
2015-01-16T14:00:00Z;118.780.000
2015-01-16T15:00:00Z;119.430.000
2015-01-16T16:00:00Z;126.000.000
2015-01-16T17:00:00Z;126.900.000
2015-01-16T18:00:00Z;121.880.000
2015-01-16T19:00:00Z;116.630.000
2015-01-16T20:00:00Z;111.240.000
2015-01-16T21:00:00Z;114.560.000
2015-01-16T22:00:00Z;114.960.000
2015-01-16T23:00:00Z;108.120.000
2015-01-17T00:00:00Z;102.490.000
2015-01-17T01:00:00Z;98.400.000
2015-01-17T02:00:00Z;96.290.000
2015-01-17T03:00:00Z;95.150.000
2015-01-17T04:00:00Z;94.650.000
2015-01-17T05:00:00Z;97.300.000
2015-01-17T06:00:00Z;100.380.000
2015-01-17T07:00:00Z;106.020.000
2015-01-17T08:00:00Z;110.540.000
2015-01-17T09:00:00Z;112.060.000
2015-01-17T10:00:00Z;112.990.000
2015-01-17T11:00:00Z;113.650.000
2015-01-17T12:00:00Z;111.430.000
2015-01-17T13:00:00Z;108.440.000
2015-01-17T14:00:00Z;107.030.000
2015-01-17T15:00:00Z;107.140.000
2015-01-17T16:00:00Z;114.330.000
2015-01-17T17:00:00Z;118.670.000
2015-01-17T18:00:00Z;115.570.000
2015-01-17T19:00:00Z;111.160.000
2015-01-17T20:00:00Z;106.190.000
2015-01-17T21:00:00Z;108.370.000
2015-01-17T22:00:00Z;109.480.000
2015-01-17T23:00:00Z;103.260.000
2015-01-18T00:00:00Z;98.410.000
2015-01-18T01:00:00Z;95.340.000
2015-01-18T02:00:00Z;91.830.000
2015-01-18T03:00:00Z;90.720.000
2015-01-18T04:00:00Z;90.650.000
2015-01-18T05:00:00Z;91.990.000
2015-01-18T06:00:00Z;92.350.000
2015-01-18T07:00:00Z;96.570.000
2015-01-18T08:00:00Z;102.780.000
2015-01-18T09:00:00Z;107.040.000
2015-01-18T10:00:00Z;110.570.000
2015-01-18T11:00:00Z;112.050.000
2015-01-18T12:00:00Z;108.830.000
2015-01-18T13:00:00Z;105.730.000
2015-01-18T14:00:00Z;104.610.000
2015-01-18T15:00:00Z;104.420.000
2015-01-18T16:00:00Z;111.400.000
2015-01-18T17:00:00Z;116.630.000
2015-01-18T18:00:00Z;115.190.000
2015-01-18T19:00:00Z;112.210.000
2015-01-18T20:00:00Z;107.660.000
2015-01-18T21:00:00Z;108.560.000
2015-01-18T22:00:00Z;109.110.000
2015-01-18T23:00:00Z;103.590.000
2015-01-19T00:00:00Z;99.480.000
2015-01-19T01:00:00Z;97.190.000
2015-01-19T02:00:00Z;94.130.000
2015-01-19T03:00:00Z;94.980.000
2015-01-19T04:00:00Z;99.890.000
2015-01-19T05:00:00Z;112.230.000
2015-01-19T06:00:00Z;122.510.000
2015-01-19T07:00:00Z;128.100.000
2015-01-19T08:00:00Z;129.550.000
2015-01-19T09:00:00Z;129.760.000
2015-01-19T10:00:00Z;130.240.000
2015-01-19T11:00:00Z;128.110.000
2015-01-19T12:00:00Z;129.220.000
2015-01-19T13:00:00Z;128.110.000
2015-01-19T14:00:00Z;127.360.000
2015-01-19T15:00:00Z;126.660.000
2015-01-19T16:00:00Z;132.810.000
2015-01-19T17:00:00Z;135.130.000
2015-01-19T18:00:00Z;129.580.000
2015-01-19T19:00:00Z;123.220.000
2015-01-19T20:00:00Z;116.140.000
2015-01-19T21:00:00Z;118.480.000
2015-01-19T22:00:00Z;118.600.000
2015-01-19T23:00:00Z;112.120.000
2015-01-20T00:00:00Z;106.590.000
2015-01-20T01:00:00Z;103.680.000
2015-01-20T02:00:00Z;101.130.000
2015-01-20T03:00:00Z;101.690.000
2015-01-20T04:00:00Z;105.670.000
2015-01-20T05:00:00Z;117.220.000
2015-01-20T06:00:00Z;126.780.000
2015-01-20T07:00:00Z;129.710.000
2015-01-20T08:00:00Z;130.260.000
2015-01-20T09:00:00Z;130.230.000
2015-01-20T10:00:00Z;130.430.000
2015-01-20T11:00:00Z;127.980.000
2015-01-20T12:00:00Z;127.050.000
2015-01-20T13:00:00Z;126.410.000
2015-01-20T14:00:00Z;125.820.000
2015-01-20T15:00:00Z;125.550.000
2015-01-20T16:00:00Z;131.860.000
2015-01-20T17:00:00Z;135.310.000
2015-01-20T18:00:00Z;130.780.000
2015-01-20T19:00:00Z;124.440.000
2015-01-20T20:00:00Z;118.340.000
